Definition Name                           ;Attribut Name                                    ;Attribut Type                                      ;Moegliche Enum Werte
                                          ;ausgabenMonatlich                                ;number                                             ;
                                          ;entfallenMitFinanzierung                         ;boolean                                            ;
                                          ;zahlungsTyp                                      ;enum                                               ;
                                          ;                                                 ;                                                   ;EINNAHME
                                          ;                                                 ;                                                   ;AUSGABE
MiteigentumsAnteil                        ;                                                 ;                                                   ;
                                          ;anteil                                           ;number(double)                                     ;
                                          ;gesamt                                           ;integer(int32)                                     ;
Modernisierung                            ;                                                 ;                                                   ;
                                          ;anzahlTeilzahlungen                              ;integer(int32)                                     ;
                                          ;mobiliarKosten                                   ;number                                             ;
                                          ;modernisierungsKostenInklEigenleistungen         ;number                                             ;
                                          ;renovierungsKosten                               ;number                                             ;
                                          ;sonstigeKosten                                   ;number                                             ;
                                          ;zusaetzlichesKapital                             ;number                                             ;
ModernisierungsAngaben                    ;                                                 ;                                                   ;
                                          ;modernisierungsGrad                              ;string                                             ;
                                          ;modernisierungsJahr                              ;string                                             ;
Nebenkosten                               ;                                                 ;                                                   ;
                                          ;grunderwerbsteuer                                ;number                                             ;
                                          ;maklergebuehr                                    ;number                                             ;
                                          ;notargebuehr                                     ;number                                             ;
Neubau                                    ;                                                 ;                                                   ;
                                          ;anzahlTeilzahlungen                              ;integer(int32)                                     ;
                                          ;aussenAnlagen                                    ;number                                             ;
                                          ;bauNebenkosten                                   ;number                                             ;
                                          ;bereitsBeglicheneKosten                          ;number                                             ;
                                          ;erschliessungskosten                             ;number                                             ;
                                          ;grundstueckKaufpreis                             ;number                                             ;
                                          ;herstellungskostenInklusiveEigenleistungen       ;number                                             ;
                                          ;mobiliarKosten                                   ;number                                             ;
                                          ;nebenkosten                                      ;Nebenkosten                                        ;
                                          ;sonstigeKosten                                   ;number                                             ;
Partner                                   ;                                                 ;                                                   ;
                                          ;partnerId                                        ;string                                             ;
                                          ;vorname                                          ;string                                             ;
                                          ;nachname                                         ;string                                             ;
                                          ;firmierung                                       ;string                                             ;
                                          ;email                                            ;string                                             ;
                                          ;telefonnummer                                    ;string                                             ;
                                          ;_links                                           ;Links                                              ;
Postadresse                               ;                                                 ;                                                   ;
                                          ;hausnummer                                       ;string                                             ;
                                          ;ort                                              ;string                                             ;
                                          ;postleitzahl                                     ;string                                             ;
                                          ;strasse                                          ;string                                             ;
ProduktAnbieter                           ;                                                 ;                                                   ;
                                          ;partnerId                                        ;string                                             ;
                                          ;produktAnbieterId                                ;string                                             ;
                                          ;vorname                                          ;string                                             ;
                                          ;nachname                                         ;string                                             ;
                                          ;firmierung                                       ;string                                             ;
                                          ;email                                            ;string                                             ;
                                          ;telefonnummer                                    ;string                                             ;
RechteAbteilung2                          ;                                                 ;                                                   ;
                                          ;beschreibung                                     ;string                                             ;
                                          ;betrag                                           ;number                                             ;
SchufaErgebnis                            ;                                                 ;                                                   ;
                                          ;antragstellerUnbekannt                           ;boolean                                            ;
                                          ;inManuellerNachbehandlung                        ;boolean                                            ;
                                          ;score                                            ;string                                             ;
SituationNachRenteneintritt               ;                                                 ;                                                   ;
                                          ;gesetzlicheRenteMonatlich                        ;number                                             ;
                                          ;privateRenteMonatlich                            ;number                                             ;
                                          ;rentenBeginn                                     ;string(date)                                       ;
                                          ;sonstigesEinkommenMonatlich                      ;number                                             ;
SparPhase                                 ;                                                 ;                                                   ;
                                          ;guthabenBeiZuteilung                             ;number                                             ;
                                          ;sparBeitragMonatlich                             ;number                                             ;
                                          ;sparPhaseInJahren                                ;integer(int32)                                     ;
Sparplaene                                ;                                                 ;                                                   ;
                                          ;aktuellerWert                                    ;number                                             ;
                                          ;beitragMonatlich                                 ;number                                             ;
                                          ;maximalAufzuloesenderWert                        ;number                                             ;
                                          ;vermoegensTyp                                    ;enum                                               ;
                                          ;                                                 ;                                                   ;VERMOEGEN
                                          ;                                                 ;                                                   ;VERBINDLICHKEIT
                                          ;zahlungsTyp                                      ;enum                                               ;
                                          ;                                                 ;                                                   ;EINNAHME
                                          ;                                                 ;                                                   ;AUSGABE
Staat                                     ;                                                 ;                                                   ;
                                          ;isoCountryCode                                   ;string                                             ;
                                          ;name                                             ;string                                             ;
Tilgung                                   ;                                                 ;                                                   ;
                                          ;anfaenglicheTilgung                              ;number                                             ;
                                          ;sonderTilgungJaehrlich                           ;number                                             ;
                                          ;tilgungsBeginnAm                                 ;string(date)                                       ;
                                          ;tilgungsErsatz                                   ;TilgungsErsatz                                     ;
TilgungsErsatz                            ;                                                 ;                                                   ;
                                          ;id                                               ;string                                             ;
                                          ;typ                                              ;string                                             ;
TilgungsPhase                             ;                                                 ;                                                   ;
                                          ;bausparDarlehenSumme                             ;number                                             ;
                                          ;sollZinsNachZuteilung                            ;number                                             ;
                                          ;tilgungsBeitragMonatlich                         ;number                                             ;
                                          ;tilgungsPhaseInJahren                            ;integer(int32)                                     ;
URI                                       ;                                                 ;                                                   ;
                                          ;absolute                                         ;boolean                                            ;
                                          ;authority                                        ;string                                             ;
                                          ;fragment                                         ;string                                             ;
                                          ;host                                             ;string                                             ;
                                          ;opaque                                           ;boolean                                            ;
                                          ;path                                             ;string                                             ;
                                          ;port                                             ;integer(int32)                                     ;
                                          ;query                                            ;string                                             ;
                                          ;rawAuthority                                     ;string                                             ;
                                          ;rawFragment                                      ;string                                             ;
                                          ;rawPath                                          ;string                                             ;
                                          ;rawQuery                                         ;string                                             ;
                                          ;rawSchemeSpecificPart                            ;string                                             ;
                                          ;rawUserInfo                                      ;string                                             ;
                                          ;scheme                                           ;string                                             ;
                                          ;schemeSpecificPart                               ;string                                             ;
                                          ;userInfo                                         ;string                                             ;
Verbindlichkeit                           ;                                                 ;                                                   ;
                                          ;glaeubiger                                       ;string                                             ;
                                          ;laufzeitEnde                                     ;string(date)                                       ;
                                          ;rateMonatlich                                    ;number                                             ;
                                          ;restschuld                                       ;number                                             ;
                                          ;vermoegensTyp                                    ;enum                                               ;
                                          ;                                                 ;                                                   ;VERMOEGEN
                                          ;                                                 ;                                                   ;VERBINDLICHKEIT
                                          ;wirdAbgeloest                                    ;boolean                                            ;
                                          ;zahlungsTyp                                      ;enum                                               ;
                                          ;                                                 ;                                                   ;EINNAHME
                                          ;                                                 ;                                                   ;AUSGABE
VermietungsInformationen                  ;                                                 ;                                                   ;
                                          ;mieteinnahmenNettoKaltMonatlich                  ;number                                             ;
                                          ;nutzungsArt                                      ;enum                                               ;
                                          ;                                                 ;                                                   ;EIGENGENUTZT
                                          ;                                                 ;                                                   ;TEIL_VERMIETET
                                          ;                                                 ;                                                   ;VERMIETET
                                          ;vermieteteFlaeche                                ;number                                             ;
Vermoegen                                 ;                                                 ;                                                   ;
                                          ;aktuellerWert                                    ;number                                             ;
                                          ;maximalAufzuloesenderWert                        ;number                                             ;
                                          ;vermoegensTyp                                    ;enum                                               ;
                                          ;                                                 ;                                                   ;VERMOEGEN
                                          ;                                                 ;                                                   ;VERBINDLICHKEIT
Wertpapiere                               ;                                                 ;                                                   ;
                                          ;aktuellerWert                                    ;number                                             ;
                                          ;dividendenJaehrlich                              ;number                                             ;
                                          ;maximalAufzuloesenderWert                        ;number                                             ;
                                          ;vermoegensTyp                                    ;enum                                               ;
                                          ;                                                 ;                                                   ;VERMOEGEN
                                          ;                                                 ;                                                   ;VERBINDLICHKEIT
                                          ;zahlungsTyp                                      ;enum                                               ;
                                          ;                                                 ;                                                   ;EINNAHME
                                          ;                                                 ;                                                   ;AUSGABE
ZinsBindung                               ;                                                 ;                                                   ;
                                          ;endetAm                                          ;string(date)                                       ;
                                          ;jahre                                            ;integer(int32)                                     ;
                                          ;monate                                           ;integer(int32)                                     ;
                                          ;restschuldNachZinsBindungsEnde                   ;number                                             ;
ZugrundeliegendeDatenZumAntrag            ;                                                 ;                                                   ;
                                          ;bankverbindung                                   ;Bankverbindung                                     ;
                                          ;finanzierungsObjekt                              ;FinanzierungsObjekt                                ;
                                          ;haushalte                                        ;array of Haushalt                                  ;
                                          ;_links                                           ;Links                                              ;
